instance obj time nodes cuts rlx time gap
00-A-test_n4 1500.0 0.008487224578857422 0 0 1500.0000000000002 0.010965347290039062 -1.5158245029548804e-14
00-A-test_n5 1750.0 0.18114233016967773 6 0 1750.0 0.047640085220336914 0.0
00-A-test_n6 1812.5 0.5382301807403564 132 0 1666.6666666666667 0.09795618057250977 8.045977011494248
00-A-test_n7 1937.4999999749996 2.169652223587036 1498 0 1750.0 0.1744976043701172 9.677419353673239
00-A-test_n8 2124.9999999937486 9.679127931594849 33446 0 1812.5 0.2391362190246582 14.705882352690255
00-A-test_n9 2328.125 340.70025873184204 519566 0 1875.0 0.5542857646942139 19.463087248322147
01-Primates12_n10 0.12203927656246341 3603.279782772064 3623597 0 0.07336887211518787 0.8737294673919678 39.8809349073489
01-Primates12_n11 0.16634697187473085 3603.8040401935577 1439016 0 0.09071475445059354 1.7249207496643066 45.46654295642536
02-M17_n10 0.10266960374999606 3606.6318657398224 4198682 0 0.07123264015625 10.59091591835022 30.619543122320923
02-M17_n11 0.1278518099999859 3604.6095855236053 1937454 0 0.08334854901041666 1.7371699810028076 34.8084716122315
03-M18_n10 0.186567290625 3606.1830871105194 4946841 0 0.14169575182291666 0.760728120803833 24.051128497264326
03-M18_n11 0.19500016874999787 3603.938605070114 1456145 0 0.1415140072265625 1.4691612720489502 27.428777044807543
04-SeedPlant500_n10 0.08931403296872295 150.47724533081055 127633 0 0.07650813690396471 0.8835136890411377 14.338056002064937
04-SeedPlant500_n11 0.10088788765622908 3601.6001012325287 1068487 0 0.08391929248260499 1.5191938877105713 16.81925904866183
05-M43_n10 0.102558558125 3606.5772054195404 4625940 0 0.08325285770833332 3.8919434547424316 18.82407550341785
05-M43_n11 0.10317466487498266 3604.2207503318787 1701539 0 0.0802597555 1.2984490394592285 22.209821958470894
06-M62_n10 0.160035371875 3602.780786752701 1754248 0 0.11489207031249998 1.1251187324523926 28.208327342632995
06-M62_n11 0.17158967421871807 3601.1870148181915 638043 0 0.12133519296874999 2.268392324447632 29.287590572560223
07-RbcL55_n10 0.14906119734374998 3606.547624349594 1411559 0 0.10902397995535713 36.82593488693237 26.859583917109582
07-RbcL55_n11 0.161828340703125 3604.4100370407104 981776 0 0.1189533005208333 2.2722463607788086 26.49414805589967
08-Rana64_n10 0.0402572048437489 1999.80663895607 1369970 0 0.03250767796875003 19.734466314315796 19.250037117771253
08-Rana64_n11 0.04270338250000004 3600.504299879074 548167 0 0.03621097945678714 3.138911724090576 15.203486616576319
09-M82_n10 0.05192410687499999 3600.7579119205475 3818377 0 0.04179088866071428 0.8881974220275879 19.5154405615103
09-M82_n11 0.05269435874999946 3603.3379578590393 1088774 0 0.03807020582214356 1.7947101593017578 27.752786588101433
