instance obj time nodes cuts rlx time gap
00-A-test_n4 1500.0 0.0 0 0 1500.0 0.0 0.0
00-A-test_n5 1750.0 0.033736228942871094 1 0 1750.0 0.013711690902709961 0.0
00-A-test_n6 1812.5 0.04751443862915039 6 0 1812.5 0.03177022933959961 0.0
00-A-test_n7 1937.499999999999 0.07953238487243652 10 0 1920.673076923077 0.047832489013671875 0.8684863523572744
00-A-test_n8 2124.999999999999 0.18933534622192383 753 0 2059.8649562564747 0.0630648136138916 3.065178529107033
00-A-test_n9 2328.125000000001 0.5678994655609131 15893 0 2273.4375 0.07891464233398438 2.348993288590642
01-Primates12_n10 0.12203927656250001 0.6012747287750244 7876 0 0.1091106867054977 0.09441280364990234 10.593794244905396
01-Primates12_n11 0.1625166890625 4.539309740066528 84606 0 0.1442518900959483 0.10704398155212402 11.238722048741405
02-M17_n10 0.10266960375 0.648162841796875 5241 0 0.10043075676638472 0.07902836799621582 2.1806327304689623
02-M17_n11 0.12755520687500002 2.3872733116149902 33509 0 0.12212967890478016 0.11043405532836914 4.253474321543537
03-M18_n10 0.185870190625 1.1085312366485596 14611 0 0.17423227559858415 0.09527444839477539 6.261313332322215
03-M18_n11 0.19381942031250007 2.370161294937134 28932 0 0.18213006320645467 0.07912158966064453 6.031055653349057
04-SeedPlant500_n10 0.08931403296875 0.6799108982086182 6764 0 0.07961921756660525 0.1259312629699707 10.85475045734062
04-SeedPlant500_n11 0.10070804234375 1.6776533126831055 16418 0 0.08540265395142453 0.14865541458129883 15.197781662841875
05-M43_n10 0.10255855812500003 0.9016554355621338 8957 0 0.09826301235148688 0.0792076587677002 4.188383545991036
05-M43_n11 0.10218857112499971 2.3584935665130615 26024 0 0.09306335510541952 0.12453961372375488 8.929781402284204
06-M62_n10 0.160035371875 0.6326053142547607 7446 0 0.15028913510044642 0.09515166282653809 6.090051630689585
06-M62_n11 0.17110586249999998 4.255506992340088 69217 0 0.16104902981650784 0.09443068504333496 5.877550036306991
07-RbcL55_n10 0.14890873718749997 0.66493821144104 6721 0 0.14391964041878033 0.12602734565734863 3.35043924416441
07-RbcL55_n11 0.160471043984375 1.2041778564453125 11527 0 0.15485341426008037 0.12761569023132324 3.5007123932225577
08-Rana64_n10 0.04025720484375001 1.1658856868743896 16933 0 0.0340669347405665 0.11083865165710449 15.37680056827036
08-Rana64_n11 0.04255958343750003 4.339024782180786 68923 0 0.03634312105915983 0.11036467552185059 14.606492536444236
09-M82_n10 0.05192410687499996 1.3906407356262207 20623 0 0.04859995746520969 0.10877799987792969 6.401938540402236
09-M82_n11 0.05197434250000012 3.224026918411255 41761 0 0.04832196641799354 0.13407564163208008 7.0272675060902845
