instance obj time nodes cuts rlx time gap
01-A-test_n4 1500.0 0.00795745849609375 0 0 1500.0 0.010446786880493164 0.0
01-A-test_n5 7.0 0.007017374038696289 0 0 7.0 0.012987136840820312 0.0
01-A-test_n6 1812.5 0.008022069931030273 0 0 1812.5 0.019020557403564453 0.0
01-A-test_n7 1937.4999999999998 0.01864147186279297 0 20 1935.7232441471576 0.027385473251342773 0.09170352788862676
01-A-test_n8 2124.999999999999 0.3355848789215088 555 144 2096.80222061744 0.04279279708862305 1.326954323885131
01-A-test_n9 2328.125 254.57928109169006 531406 4230 2291.530429263734 0.06726551055908203 1.5718473336382788
01-Primates12_n10 0.12203927656249927 1.1864328384399414 278 172 0.11985381150344496 0.08150911331176758 1.7907882778501107
01-Primates12_n11 0.1625166890625 3.2303478717803955 9148 800 0.15927442365028696 0.10821413993835449 1.9950353597015127
02-M17_n10 0.10266960375 1.5712790489196777 3845 908 0.10219023516042146 0.08901333808898926 0.4669041002104253
02-M17_n11 0.127555206875 1354.132827758789 1184070 7704 0.12659910715091743 0.11299777030944824 0.7495575817767336
03-M18_n10 0.18587019062500004 0.9296083450317383 73 59 0.1847624998782477 0.08580660820007324 0.5959485719725525
03-M18_n11 0.1938194203125 7.729649782180786 9318 1399 0.1914934825267449 0.11017990112304688 1.2000540410269163
04-SeedPlant500_n10 0.08931403296874932 1.2767744064331055 136 119 0.0874790705285017 0.33280348777770996 2.054506306852876
04-SeedPlant500_n11 0.10070804234374997 2.727187395095825 3710 510 0.0984449096912563 0.10934805870056152 2.247221373610708
05-M43_n10 0.10255855812500002 0.8995146751403809 256 191 0.10200335815026841 0.08397126197814941 0.541349239772775
05-M43_n11 0.102188571125 1.9132490158081055 1273 377 0.10022447057462239 0.10691165924072266 1.9220354377742208
06-M62_n10 0.160035371875 1.442636489868164 3707 397 0.15845451714915837 0.07689809799194336 0.9878158230396711
06-M62_n11 0.17110586249999998 127.60888981819153 193400 7795 0.1687228622229257 0.10708975791931152 1.392705219012748
07-RbcL55_n10 0.14890873718749997 6.104119539260864 16564 2120 0.1476547240643419 0.07932233810424805 0.8421353554150834
07-RbcL55_n11 0.160471043984375 20.612943649291992 41868 3538 0.15929141399265642 0.11511087417602539 0.7351045786387753
08-Rana64_n10 0.04025720484375003 1.4626271724700928 4152 420 0.03810799807238545 0.11780786514282227 5.33868851477961
