instance obj time nodes cuts rlx time gap
01-A-test_n4 1500.0 0.0069010257720947266 0 0 1500.0 0.017130613327026367 0.0
01-A-test_n5 7.0 0.04955410957336426 1 0 7.0 0.03800320625305176 0.0
01-A-test_n6 1812.5000000000002 0.046012163162231445 0 45 1812.5 0.05317187309265137 1.2544754507212802e-14
01-A-test_n7 1937.5 0.3908381462097168 154 210 1917.3519736842106 0.09861469268798828 1.0398981324278382
01-A-test_n8 2124.999999999999 1.3295342922210693 2407 763 2046.875 0.13272953033447266 3.676470588235253
01-A-test_n9 2328.125000000001 94.79595708847046 87360 7466 2273.4375 0.21111226081848145 2.348993288590642
01-Primates12_n10 0.131022502265625 1800.4926335811615 1632024 8723 0.10471441047161278 0.3598484992980957 20.079063778431895
02-M17_n11 0.13539179210937502 1800.5339555740356 1071448 5894 0.12183903207594209 0.5395858287811279 10.010030757613771
