instance obj time nodes cuts rlx time gap
00-A-test_n4 1500.0 0.0027828216552734375 0 0 1500.0 0.012688875198364258 0.0
00-A-test_n5 1750.0 0.0632023811340332 9 0 1343.75 0.03186297416687012 23.214285714285715
00-A-test_n6 1812.5 0.15813612937927246 286 0 843.75 0.11074161529541016 53.44827586206897
00-A-test_n7 1937.5 0.6334774494171143 4289 0 562.5000000000001 0.16252350807189941 70.96774193548387
00-A-test_n8 2124.999999968749 16.232081651687622 100930 0 359.37500000000045 0.26890063285827637 83.0882352938689
00-A-test_n9 2328.1249999960937 833.7522161006927 1934481 0 222.65625000000023 0.4925110340118408 90.4362416107222
01-Primates12_n10 0.1220392765625 3605.7792418003082 3514015 0 0.007226802320056496 0.9700446128845215 94.0782979679862
01-Primates12_n11 0.1656960778120055 3604.6623833179474 1529835 0 0.005766923952850089 1.63604736328125 96.51957727122964
02-M17_n10 0.102899881875 3605.5303649902344 4197200 0 0.006187257509503552 0.888897180557251 93.98710922037824
02-M17_n11 0.12813931312500002 3603.360846042633 917337 0 0.004549347207031126 1.6699481010437012 96.44968659805969
03-M18_n10 0.18587019062481921 3605.9706678390503 3935014 0 0.011504452697268791 0.8720545768737793 93.81049072011194
03-M18_n11 0.19887682499926385 3602.8569679260254 1302699 0 0.006048879937628673 1.7484214305877686 96.95847923072431
04-SeedPlant500_n10 0.08931403296875 3604.5734779834747 3981129 0 0.006499075463550406 7.27055811882019 92.72334341253591
04-SeedPlant500_n11 0.10739322249997901 3603.7006866931915 1110102 0 0.00423748285758091 1.7206597328186035 96.05423623675904
05-M43_n10 0.102558558125 3608.0211634635925 4215345 0 0.005626391469550511 0.936215877532959 94.51397175193027
05-M43_n11 0.10389856096875 3603.9625425338745 1511885 0 0.0028807872716519727 1.9151906967163086 97.22730782333122
06-M62_n10 0.1609812671875 3606.557742357254 3695290 0 0.008430301907763067 7.487865447998047 94.76317831568313
06-M62_n11 0.174910885546875 3603.914044380188 1075761 0 0.005215357129384335 1.8034007549285889 97.018277557124
07-RbcL55_n10 0.1489087371875 3608.169618368149 3925284 0 0.007484866498718823 12.100874662399292 94.97352093632077
07-RbcL55_n11 0.1624240059370713 3603.587192296982 1109874 0 0.004941970117660964 1.6599667072296143 96.95736471394774
08-Rana64_n10 0.04025720483892445 3606.1053881645203 3729018 0 0.002624202137806571 0.8676395416259766 93.48140997789979
08-Rana64_n11 0.043762459998653365 3603.7674396038055 717191 0 0.0017212009896644324 2.2474656105041504 96.06694644287046
09-M82_n10 0.052022146874999994 3606.2754056453705 3249538 0 0.002987353628008768 9.747012615203857 94.25753490107425
09-M82_n11 0.05233037765342026 3602.9264237880707 873913 0 0.0015558959108885146 1.7955002784729004 97.02678256749248
